baseline קפוא: commit 39692df
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights:  74%|███████▍  | 148/199 [00:00<00:00, 1473.80it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 1454.22it/s]
  (167 שורות כבר ב-checkpoint, מדלג עליהן)
  mh1 run 1/5 (0.0s): rag=skipped | agent=good/answered
  mh1 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh1 run 3/5 (0.0s): rag=skipped | agent=good/answered
  mh1 run 4/5 (0.0s): rag=skipped | agent=good/answered
  mh1 run 5/5 (0.0s): rag=skipped | agent=good/answered
  mh2 run 1/5 (0.0s): rag=skipped | agent=good/answered
  mh2 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh2 run 3/5 (0.0s): rag=skipped | agent=good/answered
  mh2 run 4/5 (0.0s): rag=skipped | agent=bad/cap_breached
  mh2 run 5/5 (0.0s): rag=skipped | agent=good/answered
  mh3 run 1/5 (0.0s): rag=skipped | agent=bad/cap_breached
  mh3 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh3 run 3/5 (0.0s): rag=skipped | agent=good/answered
  mh3 run 4/5 (0.0s): rag=skipped | agent=good/answered
  mh3 run 5/5 (0.0s): rag=skipped | agent=good/answered
  mh4 run 1/5 (0.0s): rag=skipped | agent=good/answered
  mh4 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh4 run 3/5 (0.0s): rag=skipped | agent=good/answered
  mh4 run 4/5 (0.0s): rag=skipped | agent=good/answered
  mh4 run 5/5 (0.0s): rag=skipped | agent=good/answered
  mh5 run 1/5 (0.0s): rag=skipped | agent=good/answered
  mh5 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh5 run 3/5 (0.0s): rag=skipped | agent=good/answered
  mh5 run 4/5 (0.0s): rag=skipped | agent=good/answered
  mh5 run 5/5 (0.0s): rag=skipped | agent=good/answered
  mh6 run 1/5 (0.0s): rag=skipped | agent=good/answered
  mh6 run 2/5 (0.0s): rag=skipped | agent=good/answered
  mh6 run 3/5 (0.0s): rag=skipped | agent=bad/cap_breached
  mh6 run 4/5 (0.0s): rag=skipped | agent=good/cap_breached
  mh6 run 5/5 (0.0s): rag=skipped | agent=good/answered
  nt1 run 1/5 (0.0s): rag=skipped | agent=good/answered
  nt1 run 2/5 (0.0s): rag=skipped | agent=good/answered
  nt1 run 3/5 (0.0s): rag=skipped | agent=good/answered
  nt1 run 4/5 (0.0s): rag=skipped | agent=good/answered
  nt1 run 5/5 (0.0s): rag=skipped | agent=good/answered
  nt2 run 1/5 (0.0s): rag=skipped | agent=good/answered
  nt2 run 2/5 (0.0s): rag=skipped | agent=good/answered
  nt2 run 3/5 (0.0s): rag=skipped | agent=good/answered
  nt2 run 4/5 (0.0s): rag=skipped | agent=good/answered
  nt2 run 5/5 (0.0s): rag=skipped | agent=good/answered
  nt3 run 1/5 (0.0s): rag=skipped | agent=good/answered
  nt3 run 2/5 (0.0s): rag=skipped | agent=good/answered
  nt3 run 3/5 (0.0s): rag=skipped | agent=good/answered
  nt3 run 4/5 (0.0s): rag=skipped | agent=good/answered
  nt3 run 5/5 (0.0s): rag=skipped | agent=good/answered
  ua1 run 1/5 (0.0s): rag=skipped | agent=good/refused
  ua1 run 2/5 (0.0s): rag=skipped | agent=good/refused
  ua1 run 3/5 (19.8s): rag=skipped | agent=good/refused
  ua1 run 4/5 (20.8s): rag=skipped | agent=good/refused
  ua1 run 5/5 (22.7s): rag=skipped | agent=good/refused
  ua2 run 1/5 (15.2s): rag=skipped | agent=good/refused
  ua2 run 2/5 (16.2s): rag=skipped | agent=good/refused
  ua2 run 3/5 (17.1s): rag=skipped | agent=good/refused
  ua2 run 4/5 (16.9s): rag=skipped | agent=good/refused
  ua2 run 5/5 (17.4s): rag=skipped | agent=good/refused
  ua3 run 1/5 (13.0s): rag=skipped | agent=good/refused
  ua3 run 2/5 (10.9s): rag=skipped | agent=good/refused
  ua3 run 3/5 (12.4s): rag=skipped | agent=good/refused
  ua3 run 4/5 (12.8s): rag=skipped | agent=good/refused
  ua3 run 5/5 (16.8s): rag=skipped | agent=good/refused
  tf1 run 1/5 (19.2s): rag=skipped | agent=good/refused
  tf1 run 2/5 (21.0s): rag=skipped | agent=good/refused
  tf1 run 3/5 (20.8s): rag=skipped | agent=good/refused
  tf1 run 4/5 (21.1s): rag=skipped | agent=good/refused
  tf1 run 5/5 (20.6s): rag=skipped | agent=good/refused
