Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
baseline קפוא: commit 39692df
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 2049.83it/s]
  mh1 run 1/5 (5.9s): rag=bad/answered | agent=skipped
  mh1 run 2/5 (8.4s): rag=bad/answered | agent=skipped
  mh1 run 3/5 (8.2s): rag=bad/answered | agent=skipped
  mh1 run 4/5 (8.3s): rag=bad/answered | agent=skipped
  mh1 run 5/5 (8.5s): rag=bad/answered | agent=skipped
  mh2 run 1/5 (8.4s): rag=good/answered | agent=skipped
  mh2 run 2/5 (8.5s): rag=good/answered | agent=skipped
  mh2 run 3/5 (8.3s): rag=good/answered | agent=skipped
  mh2 run 4/5 (8.5s): rag=good/answered | agent=skipped
  mh2 run 5/5 (8.2s): rag=good/answered | agent=skipped
  mh3 run 1/5 (9.1s): rag=bad/answered | agent=skipped
  mh3 run 2/5 (7.8s): rag=bad/answered | agent=skipped
  mh3 run 3/5 (8.5s): rag=bad/answered | agent=skipped
  mh3 run 4/5 (8.3s): rag=bad/answered | agent=skipped
  mh3 run 5/5 (8.4s): rag=bad/answered | agent=skipped
  mh4 run 1/5 (8.4s): rag=bad/answered | agent=skipped
  mh4 run 2/5 (9.0s): rag=bad/answered | agent=skipped
  mh4 run 3/5 (8.1s): rag=bad/answered | agent=skipped
  mh4 run 4/5 (8.4s): rag=bad/answered | agent=skipped
  mh4 run 5/5 (8.7s): rag=bad/answered | agent=skipped
  mh5 run 1/5 (7.8s): rag=good/answered | agent=skipped
  mh5 run 2/5 (8.4s): rag=good/answered | agent=skipped
  mh5 run 3/5 (8.5s): rag=good/answered | agent=skipped
  mh5 run 4/5 (8.3s): rag=good/answered | agent=skipped
  mh5 run 5/5 (8.4s): rag=good/answered | agent=skipped
  mh6 run 1/5 (8.5s): rag=bad/answered | agent=skipped
  mh6 run 2/5 (8.4s): rag=bad/answered | agent=skipped
  mh6 run 3/5 (9.2s): rag=bad/answered | agent=skipped
  mh6 run 4/5 (7.7s): rag=bad/answered | agent=skipped
  mh6 run 5/5 (8.5s): rag=bad/answered | agent=skipped
  nt1 run 1/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt1 run 2/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt1 run 3/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt1 run 4/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt1 run 5/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt2 run 1/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt2 run 2/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt2 run 3/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt2 run 4/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt2 run 5/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt3 run 1/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt3 run 2/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt3 run 3/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt3 run 4/5 (0.0s): rag=n/a/n/a | agent=skipped
  nt3 run 5/5 (0.0s): rag=n/a/n/a | agent=skipped
  ua1 run 1/5 (8.0s): rag=good/refused | agent=skipped
  ua1 run 2/5 (8.5s): rag=good/refused | agent=skipped
  ua1 run 3/5 (8.3s): rag=good/refused | agent=skipped
  ua1 run 4/5 (8.9s): rag=good/refused | agent=skipped
  ua1 run 5/5 (7.8s): rag=good/refused | agent=skipped
  ua2 run 1/5 (8.6s): rag=good/refused | agent=skipped
  ua2 run 2/5 (8.2s): rag=good/refused | agent=skipped
  ua2 run 3/5 (8.5s): rag=good/refused | agent=skipped
  ua2 run 4/5 (8.7s): rag=good/refused | agent=skipped
  ua2 run 5/5 (8.1s): rag=good/refused | agent=skipped
  ua3 run 1/5 (8.3s): rag=good/refused | agent=skipped
  ua3 run 2/5 (8.4s): rag=good/refused | agent=skipped
