task_id,type,success,terminal_state,tool_calls,tokens,latency_ms
mh1,multi_hop,good,answered,2,9890,49197.1
mh2,multi_hop,good,answered,2,9480,9517.6
mh3,multi_hop,good,cap_breached,2,9113,92803.0
mh4,multi_hop,good,answered,2,8457,9508.7
mh5,multi_hop,good,answered,2,9359,13032.4
mh6,multi_hop,bad,cap_breached,5,31719,20315.7
nt1,no_tool,good,answered,0,1568,4591.3
nt2,no_tool,good,answered,0,1443,4178.0
nt3,no_tool,good,answered,0,1402,3710.6
ua1,unanswerable,good,refused,3,17445,16677.9
ua2,unanswerable,good,refused,1,6075,8328.6
ua3,unanswerable,good,refused,0,1358,4367.9
tf1,tool_fails,good,refused,2,4353,12142.5
tf2,tool_fails,good,refused,2,4291,12785.4
s1,single,good,answered,1,3035,8619.8
s2,single,good,answered,1,5028,8414.0
s3,single,good,answered,1,5257,8118.6
s4,single,good,answered,1,2773,8401.7
s5,single,good,answered,1,5354,8431.5
s6,single,good,answered,2,9269,12496.2
s7,single,good,answered,1,5565,8481.6
s8,single,good,answered,1,5200,8430.5
s9,single,good,answered,1,3027,8059.7
s10,single,good,answered,1,2814,8172.0
